"mu","clonalmutations","s1","t1","s2","t2","cellularity","frequency1","frequency2","scmuts1","scmuts2","weight"
14.040729427111398,324.7526770837003,2.308329832473069,12.319345827089782,1.222785984776819,10.572583607759835,0.7116005489717814,0.6019,0.1127,214.0,194.0,0.005181348169221156
14.063071761079886,309.0618425576,0.9496358586550518,8.19495173645972,0.4157041559175052,6.6561395920728,0.6929952120979533,0.6453,0.0749,223.0,171.0,0.0018914081715979642
13.826082842097367,327.03494825432006,0.9287700886958979,7.358406877654762,0.8299873557199187,8.036655219782858,0.670289783730685,0.6815,0.1449,197.0,175.0,0.002396314465797881
13.113168164226272,329.2106228837042,1.2555317323521682,9.564030532712906,0.8279665626542847,8.683880123401602,0.6835641832536883,0.5837,0.1437,258.0,104.0,0.0034680626259536414
15.863100303876077,335.272479913086,1.0673816854321807,9.307799742351081,1.0853686287260245,9.808006043319276,0.6746307258467755,0.43,0.2336,222.0,234.0,0.0029791447366667874
14.095109874495314,310.71064440829457,1.1555739947029733,9.044443336350096,0.6218801203770044,7.5091289041801,0.6993541422634016,0.6162,0.1276,199.0,162.0,0.002471695827626355
12.38532483880605,374.5129643305857,1.4881931515321054,10.29149789367459,0.6977502597856295,8.485992311478281,0.6971653768148328,0.6506,0.0775,170.0,177.0,0.0026959413443610764
14.530767983857706,320.4776938825536,3.10439713041082,13.16651394382093,1.3068781555040028,10.684375624477351,0.6938923511741475,0.6605,0.0988,196.0,170.0,0.004541080608230671
17.72849056029001,335.2976910870396,0.7514700987406506,7.020154269737138,-0.0281571955345156,1.5271928171625748,0.6861268335405615,0.6589,0.0685,182.0,241.0,0.004607834202408027
14.960875357974533,266.8429106483714,2.7178098345736545,12.47475828880077,0.6779425857907099,7.3639051242926925,0.6978887611931066,0.6344,0.1586,256.0,223.0,0.0019055655515148211
21.153490244322022,299.21147214766074,0.449212980340581,4.521054042059627,0.19340276993565916,3.3616323385090485,0.6997950891141363,0.6189,0.1534,231.0,25.0,0.010490540178534598
15.155161908056318,278.6674829274227,2.093345964446095,10.162271773280027,0.9736719776475391,7.734800277702531,0.6915799151155196,0.7534,0.1556,193.0,146.0,0.005575705828923258
14.005346015217883,273.08052857939515,1.650051387577297,10.549893126672552,0.24423450223656126,4.523789965758153,0.6775859008729965,0.6658,0.098,282.0,214.0,0.002418470101785845
16.12576368445397,282.9691322643429,0.7138090016129323,7.129658652139153,0.49008328422818165,7.0849260407379395,0.7170446610544313,0.573,0.1063,253.0,202.0,0.007210258936175413
17.427903543312606,307.57636747543904,0.8480732411937056,6.865864184504556,0.6950726412870879,8.190356289757274,0.6895675276961001,0.7687,0.0528,156.0,276.0,0.004654329516671473
